"ID","RT","age"
"HAVEN_08SKO33AKB",1.2366,54.94246575
"HAVEN_08SKO33AKB",1.5009,54.94246575
"HAVEN_08SKO33AKB",1.2552,54.94246575
"HAVEN_08SKO33AKB",1.3654,54.94246575
"HAVEN_08SKO33AKB",1.8249,54.94246575
"HAVEN_08SKO33AKB",2.2162,54.94246575
"HAVEN_08SKO33AKB",1.7812,54.94246575
"HAVEN_08SKO33AKB",1.4454,54.94246575
"HAVEN_08SKO33AKB",1.9064,54.94246575
"HAVEN_08SKO33AKB",1.2306,54.94246575
"HAVEN_08SKO33AKB",1.7059,54.94246575
"HAVEN_08SKO33AKB",2.8107,54.94246575
"HAVEN_08SKO33AKB",1.5997,54.94246575
"HAVEN_08SKO33AKB",2.1308,54.94246575
"HAVEN_08SKO33AKB",0.8357,54.94246575
"HAVEN_08SKO33AKB",2.3656,54.94246575
"HAVEN_08SKO33AKB",1.5611,54.94246575
"HAVEN_09FUD12JKD",1.3468,69.39726027
"HAVEN_09FUD12JKD",1.3201,69.39726027
"HAVEN_09FUD12JKD",2.507,69.39726027
"HAVEN_09FUD12JKD",1.7422,69.39726027
"HAVEN_09FUD12JKD",2.1923,69.39726027
"HAVEN_09FUD12JKD",2.2822,69.39726027
"HAVEN_09FUD12JKD",1.9835,69.39726027
"HAVEN_09FUD12JKD",2.3325,69.39726027
"HAVEN_09FUD12JKD",2.415,69.39726027
"HAVEN_09FUD12JKD",2.0486,69.39726027
"HAVEN_09FUD12JKD",2.0553,69.39726027
"HAVEN_09FUD12JKD",1.6328,69.39726027
"HAVEN_09FUD12JKD",1.7243,69.39726027
"HAVEN_09FUD12JKD",2.473,69.39726027
"HAVEN_09FUD12JKD",2.0357,69.39726027
"HAVEN_09FUD12JKD",2.0825,69.39726027
"HAVEN_09FUD12JKD",2.0324,69.39726027
"HAVEN_09FUD12JKD",2.1536,69.39726027
"HAVEN_09FUD12JKD",2.1937,69.39726027
"HAVEN_09FUD12JKD",2.0851,69.39726027
"HAVEN_09FUD12JKD",1.542,69.39726027
"HAVEN_09FUD12JKD",1.4146,69.39726027
"HAVEN_09FUD12JKD",2.1297,69.39726027
"HAVEN_09FUD12JKD",2.7911,69.39726027
"HAVEN_09FUD12JKD",2.0765,69.39726027
"HAVEN_09FUD12JKD",2.2754,69.39726027
"HAVEN_09FUD12JKD",2.2269,69.39726027
"HAVEN_09FUD12JKD",2.5107,69.39726027
"HAVEN_09FUD12JKD",1.9383,69.39726027
"HAVEN_09FUD12JKD",2.2331,69.39726027
"HAVEN_09FUD12JKD",2.3365,69.39726027
"HAVEN_09FUD12JKD",3.3827,69.39726027
"HAVEN_09FUD12JKD",2.0043,69.39726027
"HAVEN_09FUD12JKD",1.9714,69.39726027
"HAVEN_09FUD12JKD",2.2085,69.39726027
"HAVEN_09FUD12JKD",2.2127,69.39726027
"HAVEN_09FUD12JKD",2.6625,69.39726027
"HAVEN_09FUD12JKD",1.9079,69.39726027
"HAVEN_09FUD12JKD",1.6953,69.39726027
"HAVEN_09FUD12JKD",1.8473,69.39726027
"HAVEN_09FUD12JKD",1.7962,69.39726027
"HAVEN_09FUD12JKD",1.8316,69.39726027
"HAVEN_09FUD12JKD",2.3999,69.39726027
"HAVEN_09FUD12JKD",1.683,69.39726027
"HAVEN_09FUD12JKD",1.5373,69.39726027
"HAVEN_09FUD12JKD",2.6251,69.39726027
"HAVEN_09FUD12JKD",2.0947,69.39726027
"HAVEN_09FUD12JKD",1.7186,69.39726027
"HAVEN_09FUD12JKD",1.8959,69.39726027
"HAVEN_09FUD12JKD",2.1818,69.39726027
"HAVEN_09FUD12JKD",1.7478,69.39726027
"HAVEN_09FUD12JKD",2.3253,69.39726027
"HAVEN_09FUD12JKD",1.9632,69.39726027
"HAVEN_09FUD12JKD",2.8502,69.39726027
"HAVEN_09FUD12JKD",2.865,69.39726027
"HAVEN_09FUD12JKD",1.8972,69.39726027
